institutionCode,institutionName,country,state,collectionCode,collectionName,size,tier,percentPublic,type,lat,lon,url,scan,idigbio,gbif
DAR,University of North Dakota ,USA,ND,IC,Insect Collection.,10000,4,0.02,University,47.9194,-97.0673,https://www.ndsu.edu/entomology/research/facilities/,No,FALSE,FALSE
DART,Dartmouth College,USA,NH,IC,Insect Collection ,2000,4,0.13,University,43.7052,-72.2887,,No,FALSE,FALSE
DBG,Denver Botanic Gardens,USA,CO,DBGA, Collection of Arthropods,1000,4,0.73,University,39.7325,-104.961,http://www.dmns.org/science/integrative-collections/dmns-zoology-collections/,Live,TRUE,TRUE
DCH,The Davidson College ,USA,NC,DCEC,Entomology Collection,20000,4,0.33,University,35.5015,-80.8447,http://insects.davidson.edu/,Live,TRUE,TRUE
DMBC,University of South Carolina,USA,SC,DC,Dominick Collection,27000,4,0,University,33.9986,-81.027,http://zebra.biol.sc.edu/moth/Dominick_Lepidoptera_Collection_USC.html,No,FALSE,FALSE
DMNS,Denver Museum of Nature & Science ,USA,CO,Ento & Arach,Entomology & Arachnology Collections,1346000,2,0.1,Private,39.7479,-104.9431,http://www.dmns.org/science/integrative-collections/dmns-zoology-collections/,Live,TRUE,TRUE
DSNHC,Dayton Society of Natural History’s Collection,USA,OH,DSNHC,,200000,3,0,Private,39.7886,-84.2017,http://www.botanicgardens.org/science-research/our-collections,No,FALSE,FALSE
DSU,Dixie State University,USA,UT,NSM,Natural Science Museum,75000,4,0,University,37.1035,-113.5653,,No,FALSE,FALSE
DUGWAY,Dugway Proving Ground ,USA,UT,DUG-ENT,Natural History Collection,2000,4,0.61,University,40.2166,-112.753,http://www.dugway.army.mil/,Live,TRUE,TRUE
EC,Earlham College,USA,IN,JMM,Joseph Moore Museum,33000,4,0,University,39.8242,-84.9119,http://earlham.edu/joseph-moore-museum/collections/,No,FALSE,FALSE
EKUY,Eastern Kentucky University ,USA,KY,BMZ,Branson Museum of Zoology - Arthropods,50000,4,0,University,37.7426,-84.3009,http://biology.eku.edu/,Live,TRUE,TRUE
EMEC,University of California-Berkeley,USA,CA,EMEC,Essig Museum of Entomology,5100000,1,0.06,University,37.8714,-122.2628,http://essig.berkeley.edu,Snapshot,TRUE,TRUE
EMNH,Everhart Museum of Natural History,USA,PA,EMNH,,800,4,0,University,41.4008,-75.6442,http://everhart-museum.org/,No,FALSE,FALSE
ENMU,Eastern New Mexico University,USA,NM,GNHM,"Dr. Antonio ""Tony"" Gennaro Natural History Museum",2000,4,0,University,34.1791,-103.3476,https://www.enmu.edu/about/general-information/local-events-and-info/arts-and-culture/natural-history-museum,No,FALSE,FALSE
FCDA,Fresno County Department of Agriculture,USA,CA,FCDA,,100000,3,0,Government,36.7263,-119.7459,https://www.co.fresno.ca.us/departments/agricultural-commissioner/pest-detection-and-exclusion/staff-entomologist,No,FALSE,FALSE
FFBN,Florissant Fossil Beds National Monument,USA,CO,FFBN,,10630,4,0,University,38.9137,-105.2857,,No,FALSE,FALSE
FHSU,Fort Hays State University,USA,KS,SME,Stenberg Museum - Entomology,100000,3,0,Private,38.8895,-99.2998,http://sternberg.fhsu.edu/research-collections/collections/entomology/,No,FALSE,FALSE
FLC,Fort Lewis College,USA,CO,FLC,,2000,4,0,University,37.2752,-107.87,,No,FALSE,FALSE
FMNH,Field Museum of Natural History ,USA,IL,FMNHINS,"Collection of Insects, Arachnids, and Myriapods",12000000,1,0.03,Private,41.8663,-87.617,http://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods,Snapshot,TRUE,TRUE
FSCA,Florida State Collection of Arthropods,USA,FL,FSCA,,9000000,1,0,University,29.6347,-82.3715,http://www.fsca-dpi.org/,No,FALSE,FALSE
GCNP,Grand Canyon National Park ,USA,AZ,ENT,Entomology Collection,10000,4,0,Government,36.0508,-112.1342,https://www.nps.gov/grca/learn/historyculture/muscol.htm,No,FALSE,FALSE
GMNH,University of Georgia ,USA,GA,UGCA,Collection of Arthropods,2000000,2,0.01,University,33.9451,-83.3724,http://blog.caes.uga.edu/ugca/,Live,TRUE,FALSE
GSU,Georgia Southern University,USA,GA,GSU,,520000,3,0,University,32.4223,-81.7874,http://cosm.georgiasouthern.edu/icps/collections/entomology-collection/,No,FALSE,FALSE
GUAM,University of Guam ,USA,GM,ESUG,Insect Collection,35000,4,0.99,University,13.4305,144.8004,https://cnas-re.uog.edu/expertise/cnas-entomology/#,Live,TRUE,FALSE
GWPS,George Washington Memorial Parkway U.S. National Park Service ,USA,DC,GWPS,,5000,4,0,Government,38.9159,-77.106,,No,FALSE,FALSE
HARU,Harvard University ,USA,MA,MCZ,Museum of Comparative Zoology,8513000,1,0.05,University,42.3789,-71.1152,http://www.mcz.harvard.edu/about/index.html,Snapshot,TRUE,TRUE
HDOA,Hawaii Department of Agriculture Plant Pest Control Branch,USA,HI,HDOA,,5000,4,0.06,Government,21.3205,-157.887,http://hdoa.hawaii.gov/pi/ppc/,No,FALSE,FALSE
HNPH,Haleakala National Park,USA,HI,HNPH,,5000,4,0,Government,20.7595,-156.2468,https://www.nps.gov/hale/learn/historyculture/entomological-collection.htm,No,FALSE,FALSE
